"DateActual","SawSqFt","WJLinFt","WJSqFt","CutSqFt","CommanduliLinFt","CommanduliSqFt","LCRLinFt","LCRSqFt","SpeedSqFt","MaximaSqFt","ConceptSqFt","ResurfaceSqFt","RegFabSqFt","RegFabLinFt","HWSqFt","MiterSqFt","MiterLinFt","TotalSqFt","AvgSqFt","Notes"
"4/1/2019 2:16:30 PM","187.6","53.7","85.6","273.2","42","95.7","58.3","62.4","161.1","117.8","102.3","333.2","422.1","357.5","0","109.7","172.1","531.8","",""
"4/2/2019","675.9","90.6","50.3","726.1999999999999","12.4","16.2","127","105.4","118.5","48","154.9","230.2","427.4","378.6","0","2.5","0","429.9","",""
"4/3/2019 12:00:16 AM","378","126.2","111.6","489.6","11","7.9","175.4","167.5","95.6","97.1","81.7","0","324.1","297.2","13.1","52.1","133.7","376.2","",""
"4/4/2019 12:00:19 AM","120.7","30","56.5","177.2","94.7","113.7","61.4","52.9","278.4","114.4","55.8","0","357.1","308.1","15.9","24.900000000000002","21.5","382","",""
"4/5/2019 12:00:15 AM","397.7","113.5","148.4","546.1","69.6","69.2","109.3","115.9","146.5","126.1","38.1","0","389","340.9","40.2","188.1","107.9","577.1","459.40000000000003",""
"4/6/2019 12:00:14 AM","0","0","0","0","0","0","0","0","107.3","136.2","77.3","0","0","0","0","0","0","0","",""
"4/7/2019 12:00:28 AM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"4/8/2019 12:00:25 AM","178.1","0","0","178.1","0","0","9.8","16.8","139.3","55.6","79.9","0","94.3","131.2","94.3","0","0","94.3","",""
"4/9/2019 12:00:21 AM","472.2","0","27.8","500","101.6","188.6","9.5","114.3","173","48","27.8","198.9","399.5","190.3","399.5","0","0","399.5","",""
"4/10/2019 12:00:13 AM","400.7","0","0","400.7","79.3","93.1","94.4","99.3","241.1","164.3","0","221.5","499","65","499","0","0","499","",""
"4/11/2019 12:00:28 AM","429.79999999999995","0","14","443.79999999999995","0","0","187.1","275.5","0","0","62.099999999999994","256.8","383.6","257","383.6","31.7","0","415.3","",""
"4/13/2019 12:00:38 AM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"4/14/2019 12:00:03 AM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"4/15/2019","481.7","0","0","481.7","2.9","36.5","82.5","217.3","346.9","46.2","104.8","48.2","335.1","335.1","335.1","57.1","30.3","392.2","",""
"4/16/2019","437","0","0","437","63","70.1","55.1","128","245.1","23.3","87.3","281.4","0","0","0","279.3","19","279.3","",""
"4/17/2019 12:00:22 AM","471","0","0","471","0","0","63.2","296","0","7","0","0","130.3","85","130.3","90.9","72.6","221.2","",""
"4/18/2019 12:00:16 AM","335.7","0","0","335.7","26.7","37.2","28.9","93.7","42.6","208.6","0","114","165.3","166","165.3","41.4","8.5","206.7","",""
"4/19/2019 12:00:27 AM","460","0","54.6","514.6","18.4","19.1","195.3","176.8","0","120.3","0","0","480.7","303.1","480.7","0","0","480.7","316.02000000000004",""
"4/20/2019 12:00:19 AM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
