"DateActual","SawSqFt","WJLinFt","WJSqFt","CutSqFt","CommanduliLinFt","CommanduliSqFt","LCRLinFt","LCRSqFt","SpeedSqFt","MaximaSqFt","ConceptSqFt","ResurfaceSqFt","RegFabSqFt","RegFabLinFt","HWSqFt","MiterSqFt","MiterLinFt","TotalSqFt","AvgSqFt","Notes"
"7/17/2019 12:00:25 AM","410.3","0","41.8","452.1","52","71.6","394.2","413.49999999999994","135.1","118.09999999999998","145.6","117.6","573.0500000000001","508.6999999999999","573.0500000000001","81.6","106.8","654.7","",""
"7/18/2019 12:00:20 AM","401.20000000000005","0","0","401.20000000000005","0","0","291.5","242.4","505.70000000000005","68.1","48.7","0","257.2","337.79999999999995","257.2","0","0","257.2","",""
"7/19/2019 12:00:10 AM","137","0","98.5","235.5","0","0","288.7","291.8","193.60000000000002","153.8","40.2","517.3","502.1","462.49999999999994","502.1","0","0","502.1","461.1400000000001",""
"7/20/2019 12:00:17 AM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"7/21/2019 12:00:02 AM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"7/22/2019 12:00:30 AM","316.5","0","0","316.5","0","0","36","46.2","100.5","122.4","114.3","0","312.3","344.2","312.3","0","0","312.3","",""
"7/23/2019 12:00:12 AM","334.8","0","17","351.8","0","0","152.7","237.39999999999998","97.69999999999999","182.8","97.3","110.2","180.2","173.50000000000003","180.2","78.3","0","258.5","",""
"7/24/2019 12:00:06 AM","297.35","0","0","297.35","0","0","155.2","180.8","0","86","122.30000000000001","130","285.29999999999995","260.9","285.29999999999995","136.8","14.3","422.1","",""
"7/25/2019 12:00:08 AM","132.6","0","331.2","463.79999999999995","27","137.7","116.10000000000001","103.6","234.1","118.30000000000001","85","0","264.65","210.70000000000002","264.65","53","0","317.6","",""
"7/26/2019 12:00:07 AM","159.79999999999998","0","0","159.79999999999998","0","33.5","93.6","117.29999999999998","43","100.3","92.4","102","451","402.20000000000005","451","64.5","0","515.5","365.20000000000005",""
"7/27/2019 12:00:17 AM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"7/28/2019 12:00:01 AM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"7/29/2019 12:00:02 AM","561.6999999999999","0","0","561.6999999999999","45.9","96.3","109.9","94","0","0","0","0","157.9","159.9","157.9","0","0","157.9","",""
"7/30/2019 12:00:19 AM","195.8","0","4.8","200.60000000000002","87","71.1","65.3","55","138.2","104.10000000000001","176.5","138.4","224.29999999999998","212.1","224.29999999999998","165.6","161.9","389.9","",""
"7/31/2019 12:00:25 AM","406.9","0","0","406.9","109.8","77.6","0","0","245.2","124.19999999999999","81.2","0","103.85","87.7","103.85","0","0","103.8","",""
"8/1/2019 12:00:04 AM","173.60000000000002","0","85.10000000000001","258.70000000000005","0","0","58.5","79.8","158.2","236.79999999999998","59.9","175","370","311.8","370","128","140.4","498","",""
"8/2/2019 12:00:31 AM","310.90000000000003","0","0","310.90000000000003","0","0","61.9","94.2","0","0","0","0","271.09999999999997","235.2","271.09999999999997","55.2","0","326.3","295.18",""
"8/3/2019 12:00:16 AM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"8/4/2019 12:00:05 AM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"8/5/2019 12:00:11 AM","434.69999999999993","0","0","434.69999999999993","11.5","25.2","179.8","200.2","78.5","185.9","49.5","240.39999999999998","219.2","231.5","219.2","0","0","219.2","",""
"8/6/2019 12:00:05 AM","660.6","25.8","25.8","686.4","0","0","191.79999999999998","193.4","288.5","136.1","84.30000000000001","540.5","176.2","125.30000000000001","176.2","14.9","22.2","191.1","",""
"8/7/2019 12:00:09 AM","428","0","160.89999999999998","588.9","83.9","100.5","126.5","143.6","91.4","129.6","110.4","43.2","216.1","173.6","216.1","36.3","0","252.4","",""
"8/8/2019 12:00:11 AM","484.2","76.4","77.2","561.4","148.4","81.19999999999999","31.9","24.6","64.7","203.8","98.8","0","299.9","411.1","299.9","94.8","0","394.7","",""
"8/9/2019 12:00:26 AM","66.3","0","0","66.3","0","0","152.2","455","236.6","136.9","12.3","163.8","530.1999999999999","441.7","530.1999999999999","125.10000000000001","87.19999999999999","655.3","342.53999999999996",""
"8/10/2019 12:00:22 AM","0","0","0","0","0","0","0","0","0","194.10000000000002","37.9","0","0","0","0","0","0","0","",""
"8/11/2019 12:00:17 AM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
