"fab_id","draft_duration","start_time","end_time","drafter","new_start_time","new_end_time","session_start_time","state","active_session","session_start_temp","intermediary","new_duration","session_duration","old_duration","test","display_end_time"
"12325","0","6/15/2024 3:07:01 PM","6/15/2024 3:07:01 PM","11","","","","","0","","","","0","0","","6/15/2024 3:07:01 PM"
"12352","0","6/15/2024 3:07:16 PM","6/15/2024 3:07:16 PM","11","","","","","0","","","","0","0","","6/15/2024 3:07:16 PM"
"12356","0","6/15/2024 3:07:25 PM","6/15/2024 3:07:25 PM","11","","","","","0","","","","0","0","","6/15/2024 3:07:25 PM"
"12164","0","6/15/2024 3:07:32 PM","6/15/2024 3:07:32 PM","6","","","","","0","","","","0","0","","6/15/2024 3:07:32 PM"
"12361","0","6/21/2024 11:04:14 AM","6/21/2024 11:04:14 AM","6","","","","","0","","","","0","0","","6/21/2024 11:04:14 AM"
"12380","56","6/24/2024 1:59:25 PM","6/24/2024 2:55:25 PM","6","","","","","0","","","","56","56","","6/24/2024 2:55:25 PM"
"12357","50","6/24/2024 2:55:52 PM","6/24/2024 3:45:52 PM","6","","","","","0","","","","50","50","","6/24/2024 3:45:52 PM"
"12401","67","6/25/2024 8:38:01 AM","6/25/2024 9:45:01 AM","6","","","","","0","","","","67","67","","6/25/2024 9:45:01 AM"
"11879","37","6/26/2024 8:28:00 AM","6/26/2024 9:05:00 AM","11","","","","","0","","","","37","37","","6/26/2024 9:05:00 AM"
"12383","9","6/26/2024 8:33:36 AM","6/26/2024 8:42:36 AM","6","","","","","0","","","","9","9","","6/26/2024 8:42:36 AM"
"12408","16","6/26/2024 3:44:06 PM","6/26/2024 4:00:06 PM","11","","","","","0","","","","16","16","","6/26/2024 4:00:06 PM"
"12340","20","6/27/2024 8:24:14 AM","6/27/2024 8:44:14 AM","11","","","","","0","","","","20","20","","6/27/2024 8:44:14 AM"
"12407","6","6/27/2024 11:49:18 AM","6/27/2024 11:55:18 AM","6","","","","","0","","","","6","6","","6/27/2024 11:55:18 AM"
"12411","","6/27/2024 3:42:28 PM","","11","","","","","0","","","","0","","",""
"12413","54","7/1/2024 8:03:53 AM","7/1/2024 8:57:53 AM","11","","","","","0","","","","54","54","","7/1/2024 8:57:53 AM"
"12417","58","7/1/2024 9:01:32 AM","7/1/2024 9:59:32 AM","11","","","","","0","","","","58","58","","7/1/2024 9:59:32 AM"
"12418","49","7/1/2024 9:59:28 AM","7/1/2024 10:48:28 AM","11","","","","","0","","","","49","49","","7/1/2024 10:48:28 AM"
"12416","","7/1/2024 11:00:14 AM","","6","","","","","0","","","","0","","",""
"12343","136","7/1/2024 11:31:36 AM","7/1/2024 1:47:36 PM","11","","","","","0","","","","136","136","","7/1/2024 1:47:36 PM"
"12341","71","7/1/2024 2:32:06 PM","7/1/2024 3:43:06 PM","11","","","","","0","","","","71","71","","7/1/2024 3:43:06 PM"
"12420","154","7/2/2024 7:59:23 AM","7/2/2024 10:33:23 AM","11","","","","","0","","","","154","154","","7/2/2024 10:33:23 AM"
"12355","31","7/2/2024 10:02:30 AM","7/2/2024 10:33:30 AM","10","","","","","0","","","","31","31","","7/2/2024 10:33:30 AM"
"12181","65","7/2/2024 10:34:54 AM","7/2/2024 11:39:54 AM","11","","","","","0","","","","65","65","","7/2/2024 11:39:54 AM"
"12432","18","7/2/2024 11:25:38 AM","7/2/2024 11:43:38 AM","10","","","","","0","","","","18","18","","7/2/2024 11:43:38 AM"
"12425","42","7/2/2024 12:52:09 PM","7/2/2024 1:34:09 PM","10","","","","","0","","","","42","42","","7/2/2024 1:34:09 PM"
"12287","","7/3/2024 9:06:45 AM","","6","","","","","0","","","","0","","",""
"12427","","7/8/2024 10:14:58 AM","","6","","","","","0","","","","0","","",""
"12303","54","7/9/2024 11:35:21 AM","7/9/2024 12:29:21 PM","11","","","","","0","","","","54","54","","7/9/2024 12:29:21 PM"
"12302","24","7/9/2024 12:27:38 PM","7/9/2024 12:51:38 PM","10","","","","","0","","","","24","24","","7/9/2024 12:51:38 PM"
"12429","67","7/9/2024 2:44:12 PM","7/9/2024 3:51:12 PM","11","","","","","0","","","","67","67","","7/9/2024 3:51:12 PM"
"12466","150","7/10/2024 10:14:58 AM","7/10/2024 12:44:58 PM","11","","","","","0","","","","150","150","","7/10/2024 12:44:58 PM"
"12478","106","7/11/2024 12:56:43 PM","7/11/2024 2:42:43 PM","6","","","","","0","","","","106","106","","7/11/2024 2:42:43 PM"
"12477","8","7/11/2024 3:01:00 PM","7/11/2024 3:09:00 PM","11","","","","","0","","","","8","8","","7/11/2024 3:09:00 PM"
"12490","62","7/12/2024 8:41:21 AM","7/12/2024 9:43:21 AM","11","","","","","0","","","","62","62","","7/12/2024 9:43:21 AM"
"12445","87","7/12/2024 8:54:37 AM","7/12/2024 10:21:37 AM","11","","","","","0","","","","87","87","","7/12/2024 10:21:37 AM"
"12489","83","7/12/2024 12:43:10 PM","7/12/2024 2:06:10 PM","11","","","","","0","","","","83","83","","7/12/2024 2:06:10 PM"
"12499","92","7/15/2024 8:25:30 AM","7/15/2024 9:57:30 AM","11","","","","","0","","","","92","92","","7/15/2024 9:57:30 AM"
"12504","11","7/15/2024 4:45:20 PM","7/15/2024 4:56:20 PM","10","","","","","0","","","","11","11","","7/15/2024 4:56:20 PM"
"12501","89","7/17/2024 8:28:39 AM","7/17/2024 9:57:39 AM","11","","","","","0","","","","89","89","","7/17/2024 9:57:39 AM"
"12514","48","7/18/2024 9:12:21 AM","7/18/2024 10:00:21 AM","","","","","","0","","","","48","48","","7/18/2024 10:00:21 AM"
"12264","158","7/18/2024 10:56:48 AM","7/18/2024 1:34:48 PM","11","","","","","0","","","","158","158","","7/18/2024 1:34:48 PM"
"12503","","7/19/2024 9:01:31 AM","","11","","","","","0","","","","0","","",""
"12071","68","7/19/2024 10:07:47 AM","7/19/2024 11:15:47 AM","11","","","","","0","","","","68","68","","7/19/2024 11:15:47 AM"
"12439","51","7/22/2024 10:42:18 AM","7/22/2024 11:33:18 AM","11","","","","","0","","","","51","51","","7/22/2024 11:33:18 AM"
"12534","8558","7/23/2024 1:02:02 PM","7/29/2024 11:40:02 AM","11","","","","","0","","","","8558","8558","","7/29/2024 11:40:02 AM"
"11205","12985","7/23/2024 2:11:12 PM","8/1/2024 2:36:12 PM","11","","","","","0","","","","12985","12985","","8/1/2024 2:36:12 PM"
"12442","85","7/25/2024 10:19:15 AM","7/25/2024 11:44:15 AM","11","","","","","0","","","","85","85","","7/25/2024 11:44:15 AM"
"12291","100","7/25/2024 1:15:56 PM","7/25/2024 2:55:56 PM","11","","","","","0","","","","100","100","","7/25/2024 2:55:56 PM"
"12288","105","7/26/2024 8:11:58 AM","7/26/2024 9:56:58 AM","11","","","","","0","","","","105","105","","7/26/2024 9:56:58 AM"
"12546","40","7/26/2024 9:57:00 AM","7/26/2024 10:37:00 AM","11","","","","","0","","","","40","40","","7/26/2024 10:37:00 AM"
"12548","","7/26/2024 10:39:22 AM","","11","","","","","0","","","","0","","",""
"12389","186","7/26/2024 11:42:14 AM","7/26/2024 2:48:14 PM","11","","","","","0","","","","186","186","","7/26/2024 2:48:14 PM"
"12934","4","10/8/2024 2:43:31 PM","10/8/2024 2:47:31 PM","6","","","","","0","","","","4","4","","10/8/2024 2:47:31 PM"
"12600","","10/9/2024 8:22:35 AM","","4","","","","","0","","","","0","","",""
"12855","","10/10/2024 3:42:51 PM","","6","","","","","0","","","","0","","",""
"12935","","10/10/2024 3:59:59 PM","","6","","","","","0","","","","0","","",""
"12562","30","10/11/2024 10:23:02 AM","10/11/2024 10:53:02 AM","6","","","","","0","","","","30","30","","10/11/2024 10:53:02 AM"
"12564","22","10/11/2024 10:53:39 AM","10/11/2024 11:15:39 AM","4","","","","","0","","","","22","22","","10/11/2024 11:15:39 AM"
"12960","","10/11/2024 11:16:03 AM","","6","","","","","0","","","","0","","",""
"12957","42","10/11/2024 2:12:29 PM","10/11/2024 2:54:29 PM","6","","","","","0","","","","42","42","","10/11/2024 2:54:29 PM"
"12953","1","10/11/2024 2:56:37 PM","10/11/2024 2:57:37 PM","6","","","","","0","","","","1","1","","10/11/2024 2:57:37 PM"
"12151","","10/11/2024 2:57:52 PM","","6","","","","","0","","","","0","","",""
"12979","6","10/16/2024 1:41:48 PM","10/16/2024 1:47:48 PM","10","","","","","0","","","","6","6","","10/16/2024 1:47:48 PM"
"12980","22","10/16/2024 1:47:57 PM","10/16/2024 2:09:57 PM","10","","","","","0","","","","22","22","","10/16/2024 2:09:57 PM"
"12981","9","10/16/2024 2:10:20 PM","10/16/2024 2:19:20 PM","10","","","","","0","","","","9","9","","10/16/2024 2:19:20 PM"
"12982","20","10/16/2024 2:21:28 PM","10/16/2024 2:41:28 PM","10","","","","","0","","","","20","20","","10/16/2024 2:41:28 PM"
"12983","8","10/16/2024 2:46:27 PM","10/16/2024 2:54:27 PM","10","","","","","0","","","","8","8","","10/16/2024 2:54:27 PM"
"12984","5","10/16/2024 3:01:57 PM","10/16/2024 3:06:57 PM","10","","","","","0","","","","5","5","","10/16/2024 3:06:57 PM"
"12985","8","10/16/2024 3:11:26 PM","10/16/2024 3:19:26 PM","10","","","","","0","","","","8","8","","10/16/2024 3:19:26 PM"
"12601","","10/18/2024 2:46:34 PM","","4","","","","","0","","","","0","","",""
"12972","","10/21/2024 10:58:52 AM","","6","","","","","0","","","","0","","",""
"12976","","10/21/2024 3:12:57 PM","","6","","","","","0","","","","0","","",""
"13000","","10/22/2024 9:01:57 AM","","6","","","","","0","","","","0","","",""
"12963","40","10/24/2024 9:05:40 AM","10/24/2024 9:45:40 AM","6","","","","","0","","","","40","40","","10/24/2024 9:45:40 AM"
"12811","","10/29/2024 4:09:57 PM","","6","","","","","0","","","","0","","",""
"13032","","11/1/2024 11:02:57 AM","","4","","","","","0","","","","0","","",""
"13041","","11/1/2024 12:04:13 PM","","4","","","","","0","","","","0","","",""
"13060","4","11/5/2024 8:14:47 AM","11/5/2024 8:18:47 AM","6","","","","","0","","","","4","4","","11/5/2024 8:18:47 AM"
"13046","22","11/5/2024 9:12:13 AM","11/5/2024 9:34:13 AM","4","","","","","0","","","","22","22","","11/5/2024 9:34:13 AM"
"13047","20","11/5/2024 9:46:36 AM","11/5/2024 10:06:36 AM","4","","","","","0","","","","20","20","","11/5/2024 10:06:36 AM"
"13073","16","11/5/2024 10:07:48 AM","11/5/2024 10:23:48 AM","6","","","","","0","","","","16","16","","11/5/2024 10:23:48 AM"
"12817","245","11/5/2024 11:24:15 AM","11/5/2024 3:29:15 PM","6","","","","","0","","","","245","245","","11/5/2024 3:29:15 PM"
"13077","0","11/5/2024 3:58:38 PM","11/5/2024 3:58:38 PM","4","","","","","0","","","","0","0","","11/5/2024 3:58:38 PM"
"11413","8","11/7/2024 12:51:12 PM","11/7/2024 12:59:12 PM","4","","","","","0","","","","8","8","","11/7/2024 12:59:12 PM"
"12722","94","11/12/2024 1:29:57 PM","11/12/2024 3:03:57 PM","4","","","","","0","","","","94","94","","11/12/2024 3:03:57 PM"
